date_time,user_id,category,days_from_payday,weekday,is_weekend,is_holiday,amount
2025-01-01T00:00:00+09:00,U002,other,-24,2,False,False,690.0
2025-01-01T00:00:00+09:00,U002,social,-24,2,False,False,2450.0
2025-01-01T00:00:00+09:00,U002,entertainment,-24,2,False,False,1110.0
2025-01-02T00:00:00+09:00,U002,social,-23,3,False,False,1110.0
2025-01-02T00:00:00+09:00,U002,entertainment,-23,3,False,False,4470.0
2025-01-02T00:00:00+09:00,U002,other,-23,3,False,False,8330.0
2025-01-03T00:00:00+09:00,U002,other,-22,4,False,False,2630.0
2025-01-03T00:00:00+09:00,U002,entertainment,-22,4,False,False,80.0
2025-01-03T00:00:00+09:00,U002,transport,-22,4,False,False,9000.0
2025-01-04T00:00:00+09:00,U002,entertainment,-21,5,True,False,2730.0
2025-01-04T00:00:00+09:00,U002,other,-21,5,True,False,200.0
2025-01-05T00:00:00+09:00,U002,other,-20,6,True,False,2380.0
2025-01-06T00:00:00+09:00,U002,social,-19,0,False,False,4240.0
2025-01-07T00:00:00+09:00,U002,other,-18,1,False,False,1460.0
2025-01-08T00:00:00+09:00,U002,social,-17,2,False,False,160.0
2025-01-08T00:00:00+09:00,U002,entertainment,-17,2,False,False,6700.0
2025-01-09T00:00:00+09:00,U002,entertainment,-16,3,False,False,350.0
2025-01-09T00:00:00+09:00,U002,social,-16,3,False,False,900.0
2025-01-09T00:00:00+09:00,U002,other,-16,3,False,False,8050.0
2025-01-10T00:00:00+09:00,U002,social,-15,4,False,False,18770.0
2025-01-10T00:00:00+09:00,U002,other,-15,4,False,False,5180.0
2025-01-11T00:00:00+09:00,U002,other,-14,5,True,False,7660.0
2025-01-11T00:00:00+09:00,U002,social,-14,5,True,False,16070.0
2025-01-12T00:00:00+09:00,U002,entertainment,-13,6,True,False,1210.0
2025-01-12T00:00:00+09:00,U002,social,-13,6,True,False,3040.0
2025-01-13T00:00:00+09:00,U002,other,-12,0,False,False,6060.0
2025-01-14T00:00:00+09:00,U002,social,-11,1,False,False,5830.0
2025-01-14T00:00:00+09:00,U002,food,-11,1,False,False,1910.0
2025-01-15T00:00:00+09:00,U002,social,-10,2,False,False,4400.0
2025-01-16T00:00:00+09:00,U002,other,-9,3,False,False,620.0
2025-01-16T00:00:00+09:00,U002,social,-9,3,False,False,5050.0
2025-01-17T00:00:00+09:00,U002,other,-8,4,False,False,1110.0
2025-01-18T00:00:00+09:00,U002,entertainment,-7,5,True,False,5980.0
2025-01-19T00:00:00+09:00,U002,entertainment,-6,6,True,False,3610.0
2025-01-19T00:00:00+09:00,U002,other,-6,6,True,False,6270.0
2025-01-19T00:00:00+09:00,U002,social,-6,6,True,False,2420.0
2025-01-20T00:00:00+09:00,U002,entertainment,-5,0,False,False,5320.0
2025-01-21T00:00:00+09:00,U002,entertainment,-4,1,False,False,8300.0
2025-01-21T00:00:00+09:00,U002,other,-4,1,False,False,4610.0
2025-01-22T00:00:00+09:00,U002,social,-3,2,False,False,5680.0
2025-01-22T00:00:00+09:00,U002,entertainment,-3,2,False,False,430.0
2025-01-23T00:00:00+09:00,U002,entertainment,-2,3,False,False,2010.0
2025-01-23T00:00:00+09:00,U002,other,-2,3,False,False,4680.0
2025-01-24T00:00:00+09:00,U002,social,-1,4,False,False,7670.0
2025-01-24T00:00:00+09:00,U002,other,-1,4,False,False,350.0
2025-01-24T00:00:00+09:00,U002,entertainment,-1,4,False,False,970.0
2025-01-25T00:00:00+09:00,U002,other,0,5,True,False,2990.0
2025-01-25T00:00:00+09:00,U002,social,0,5,True,False,220.0
2025-01-25T00:00:00+09:00,U002,entertainment,0,5,True,False,2710.0
2025-01-26T00:00:00+09:00,U002,other,1,6,True,False,3240.0
2025-01-27T00:00:00+09:00,U002,utilities,2,0,False,False,4230.0
2025-01-28T00:00:00+09:00,U002,social,3,1,False,False,120.0
2025-01-28T00:00:00+09:00,U002,entertainment,3,1,False,False,4650.0
2025-01-29T00:00:00+09:00,U002,other,4,2,False,False,4970.0
2025-01-30T00:00:00+09:00,U002,entertainment,5,3,False,False,13980.0
2025-01-31T00:00:00+09:00,U002,entertainment,6,4,False,False,4080.0
2025-02-01T00:00:00+09:00,U002,entertainment,-24,5,True,False,6100.0
2025-02-02T00:00:00+09:00,U002,other,-23,6,True,False,1850.0
2025-02-02T00:00:00+09:00,U002,entertainment,-23,6,True,False,6540.0
2025-02-02T00:00:00+09:00,U002,social,-23,6,True,False,9330.0
2025-02-03T00:00:00+09:00,U002,entertainment,-22,0,False,False,2470.0
2025-02-03T00:00:00+09:00,U002,other,-22,0,False,False,130.0
2025-02-04T00:00:00+09:00,U002,other,-21,1,False,False,5930.0
2025-02-05T00:00:00+09:00,U002,entertainment,-20,2,False,True,210.0
2025-02-06T00:00:00+09:00,U002,entertainment,-19,3,False,False,8730.0
2025-02-06T00:00:00+09:00,U002,social,-19,3,False,False,2750.0
2025-02-06T00:00:00+09:00,U002,other,-19,3,False,False,2770.0
2025-02-07T00:00:00+09:00,U002,other,-18,4,False,False,4430.0
2025-02-07T00:00:00+09:00,U002,entertainment,-18,4,False,False,5170.0
2025-02-08T00:00:00+09:00,U002,entertainment,-17,5,True,False,680.0
2025-02-08T00:00:00+09:00,U002,other,-17,5,True,False,2550.0
2025-02-08T00:00:00+09:00,U002,utilities,-17,5,True,False,3930.0
