ds,category,amount_pred,amount_final
2025-04-17,光熱費,11636.75002464782,8478.236812637317
2025-04-17,交通,2505.7993385550467,1825.6609579325047
2025-04-17,食費,1441.1386657846817,1049.9765709919936
2025-04-17,衣服・美容・日用品,6308.861111689441,4596.473964779543
2025-04-17,趣味・娯楽,8375.382970277658,6102.088647443706
2025-04-17,その他,4014.50482346787,2924.864975765899
2025-04-17,交際費,7824.543544192134,5700.761207204939
2025-04-18,光熱費,9980.442207795271,6624.850311322774
2025-04-18,交通,848.6370455879508,563.3110516157503
2025-04-18,食費,2354.9335248693974,1563.165415976275
2025-04-18,衣服・美容・日用品,8431.267815064275,5596.534306450645
2025-04-18,趣味・娯楽,2604.4505206120202,1728.7906169953985
2025-04-18,その他,5392.436606425807,3579.40906696157
2025-04-18,交際費,10819.7948956154,7181.99856181529
2025-04-19,光熱費,14314.468229210095,9780.158120092028
2025-04-19,交通,1140.502503748374,779.2322176704058
2025-04-19,食費,2024.2151199888513,1383.0163737535138
2025-04-19,衣服・美容・日用品,13126.966917260701,8968.81463092333
2025-04-19,趣味・娯楽,1614.520872192108,1103.0985689015047
2025-04-19,その他,3161.473514088922,2160.0320993537093
2025-04-19,交際費,8147.110447325622,5566.398075068082
2025-04-20,光熱費,12916.929128264492,8956.81716316933
2025-04-20,交通,810.0451295482346,561.6989957313627
2025-04-20,食費,2652.6533731072795,1839.3947217838906
2025-04-20,衣服・美容・日用品,12307.66073127268,8534.340150176216
2025-04-20,趣味・娯楽,9467.509171181564,6564.931013776923
2025-04-20,その他,2189.7265545103737,1518.3934347963202
2025-04-20,交際費,12630.711854476336,8758.3492638099
2025-04-21,光熱費,8479.114253923686,6510.44622085424
2025-04-21,交通,1155.0129326447857,886.8437618817696
2025-04-21,食費,2241.324717467569,1720.9373054256832
2025-04-21,衣服・美容・日用品,6409.559685195987,4921.397728602829
2025-04-21,趣味・娯楽,3228.0018556249292,2478.529225165096
2025-04-21,その他,7802.678678369433,5991.064442919043
2025-04-21,交際費,7333.7054200188795,5630.976692468318
2025-04-22,光熱費,7302.245157892171,7013.733021119343
2025-04-22,交通,1550.6470251736448,1489.3808697735135
2025-04-22,食費,744.5286567804432,715.1122856491384
2025-04-22,衣服・美容・日用品,8915.353801721967,8563.107647312789
2025-04-22,趣味・娯楽,2411.6279988392766,2316.344434400974
2025-04-22,その他,1355.783485686414,1302.2164002217553
2025-04-22,交際費,5028.009843221939,4829.352877834392
2025-04-23,光熱費,8556.61564025242,6257.08228090951
2025-04-23,交通,1064.2440664756823,778.2355747735365
2025-04-23,食費,2765.503718049416,2022.293046633319
2025-04-23,衣服・美容・日用品,7123.418243226531,5209.047121331888
2025-04-23,趣味・娯楽,9091.956768050388,6648.554052672764
2025-04-23,その他,1462.0794571389981,1069.1553587507344
2025-04-23,交際費,7767.654624190508,5680.149273575817
2025-04-24,光熱費,6845.347174101861,7267.153204181148
2025-04-24,交通,2188.6672147476884,2323.531525576239
2025-04-24,食費,1381.4640051801973,1466.5889569031822
2025-04-24,衣服・美容・日用品,7566.080940948106,8032.298136919413
2025-04-24,趣味・娯楽,3096.63157918345,3287.4440887337637
2025-04-24,その他,1658.5000821050085,1760.6958243699976
2025-04-24,交際費,6227.957966466274,6611.72085803656
2025-04-25,光熱費,13590.75028488526,7694.807620074537
2025-04-25,交通,1895.06462828291,1072.9472204682015
2025-04-25,食費,2658.7735962177253,1505.3437742125257
2025-04-25,衣服・美容・日用品,10601.445163700499,6002.323589167002
2025-04-25,趣味・娯楽,6369.237102814175,3606.1330806218803
2025-04-25,その他,4044.3417617290474,2289.824413958106
2025-04-25,交際費,8368.453794733914,4738.049090606468
2025-04-26,光熱費,13767.2491804443,7967.22626034185
2025-04-26,交通,896.1255647855379,518.5956205735355
2025-04-26,食費,5036.074705251056,2914.42002064676
2025-04-26,衣服・美容・日用品,9053.24718449406,5239.192504202152
2025-04-26,趣味・娯楽,7176.720840444359,4153.230467009362
2025-04-26,その他,1879.589463717668,1087.7346910568506
2025-04-26,交際費,13705.894852834796,7931.719979914356
2025-04-27,光熱費,12332.873840235914,9010.234456123544
2025-04-27,交通,1817.080171267749,1327.534732033094
2025-04-27,食費,2136.280491585457,1560.7382628394446
2025-04-27,衣服・美容・日用品,10835.477523509491,7916.256518603119
2025-04-27,趣味・娯楽,3899.409757302833,2848.8571770813032
2025-04-27,その他,9196.201026097564,6718.622798236453
2025-04-27,交際費,10160.3951336074,7423.050256298428
2025-04-28,光熱費,6543.859901786661,6406.543117719571
2025-04-28,交通,896.5022666888473,877.6900045044202
2025-04-28,食費,2288.468727706707,2240.4473502867845
2025-04-28,衣服・美容・日用品,7677.266614515455,7516.166349877596
2025-04-28,趣味・娯楽,2912.254581040361,2851.143640486158
2025-04-28,その他,1921.4274542826531,1881.108094944249
2025-04-28,交際費,6576.467297247905,6438.466277462333
2025-04-29,光熱費,8225.096103801141,6385.689143968302
2025-04-29,交通,875.3337504056417,679.5798075515721
2025-04-29,食費,1837.4917895722408,1426.5670850191966
2025-04-29,衣服・美容・日用品,8126.658844694874,6309.265752812254
2025-04-29,趣味・娯楽,5153.6928055815715,4001.154489215127
2025-04-29,その他,1858.766811554826,1443.0842995535165
2025-04-29,交際費,7799.507513616523,6055.276416160448
2025-04-30,光熱費,7862.264754979636,6717.438701554856
2025-04-30,交通,1491.1752611049653,1274.044912237709
2025-04-30,食費,1686.4890923669363,1440.9190547342646
2025-04-30,衣服・美容・日用品,6733.229714866289,5752.802695235508
2025-04-30,趣味・娯楽,4828.610744871198,4125.515701032307
2025-04-30,その他,2093.37747122916,1788.5603296799973
2025-04-30,交際費,7767.654624190508,6636.60477215563
